IIIIIIIIIIIXIIIIXXIXX	(0.00565228+0j)
IIIIIIIIIIIYZZIIXYIXX	(0.00209728+0j)
IIIZZIIZIIIYIIZIXXZYX	(-0.003555+0j)
IIIIIIIIIIIYZZIIXXIXY	(0.003555+0j)
IIIZZIIZIIIYIIZIXYZYY	(0.00209728+0j)
IIIZZIIZIIIXZZZIXXZYY	(0.00565228+0j)
IIIIIIIIIIIZIIIIXZIXX	(-0.00236385+0j)
IIIZZIIZIIIZIIZZXZIXX	(0.0027713+0j)
IIIZZIIZIIIIIIZIXIZYY	(0.0027713+0j)
IIIIIIIIIIIIIIIZXIZYY	(-0.00236385+0j)
IIIIIIIIIIIYIXYXZIIXX	(-0.00236385+0j)
IIIIIIIIIIIYIXXYZIIXX	(0.0027713+0j)
IIIZZIIZIIIXIXXXZZZYY	(-0.0027713+0j)
IIIZZIIZIIIXIXYYZZZYY	(-0.00236385+0j)
IIIZZIIZIIIZYYIIIZIXX	(0.00107482+0j)
IIIZZIIZIIIZXXZIIZIXX	(0.00141058+0j)
IIIIIIIIIIIIYYZIIIZYY	(-0.00141058+0j)
IIIIIIIIIIIIXXIIIIZYY	(-0.00107482+0j)
IIIZZIIZIIIIXZZIIZIXX	(-0.00255654+0j)
IIIZZIIZIIIZXIZIIZIXX	(0.0013347+0j)
IIIIIIIIIIIZYZIIIIZYX	(0.00122183+0j)
IIIZZIIZIIIZYIZIIZIXY	(-0.00122183+0j)
IIIIIIIIIIIZXZIIIIZYY	(0.0013347+0j)
IIIIIIIIIIIIXIIIIIZYY	(-0.00255654+0j)
IIIZZIIZIZXZIIZIIZIXX	(-0.02775498+0j)
IIIZZIIZIIXZIIZIIZIXX	(0.02775498+0j)
IIIIIIIIIZXIIIIIIIZYY	(0.02775498+0j)
IIIIIIIIIIXIIIIIIIZYY	(-0.02775498+0j)
ZIIZZIIZIXXZIIZIIZIXX	(0.00338351+0j)
IIIZZIIZZYYZIIZIIZIXX	(-0.00338351+0j)
ZIIIIIIIIXXIIIIIIIZYY	(-0.00338351+0j)
IIIIIIIIZYYIIIIIIIZYY	(0.00338351+0j)
YIYZIIIZIXXZIIZIIZIXX	(0.00433993+0j)
YIXIIIIZIXYZIIZIIZIXX	(-0.00433993+0j)
YIYIZIIIIXXIIIIIIIZYY	(-0.00433993+0j)
YIXZZIIIIXYIIIIIIIZYY	(0.00433993+0j)
IIIZZIIZYYZZIIZIIZIXX	(-0.00434873+0j)
IIIZZIIZXXIZIIZIIZIXX	(-0.00434873+0j)
IIIIIIIIYYZIIIIIIIZYY	(0.00434873+0j)
IIIIIIIIXXIIIIIIIIZYY	(0.00434873+0j)
YYZZIIIZIXZZIIZIIZIXX	(-0.00298948+0j)
YXZZIIIZIYIZIIZIIZIXX	(0.00298948+0j)
YYZIZIIIIXZIIIIIIIZYY	(0.00298948+0j)
YXZIZIIIIYIIIIIIIIZYY	(-0.00298948+0j)
YIYZIIIZXZIZIIZIIZIXX	(-0.00114132+0j)
YIXIIIIZYZIZIIZIIZIXX	(0.00114132+0j)
YIYIZIIIXZIIIIIIIIZYY	(0.00114132+0j)
YIXZZIIIYZIIIIIIIIZYY	(-0.00114132+0j)
XIIZZIIZXZIZIIZIIZIXX	(0.00187763+0j)
YZZZIIIZYZIZIIZIIZIXX	(0.00187763+0j)
XIIIIIIIXZIIIIIIIIZYY	(-0.00187763+0j)
YZZIZIIIYZIIIIIIIIZYY	(-0.00187763+0j)
YIIZYIXXZZIZIIZIIZIXX	(0.00117794+0j)
XIIZYIXYIIIZIIZIIZIXX	(0.00117794+0j)
YIIIXIXYZZIIIIIIIIZYY	(-0.00117794+0j)
XIIIXIXXIIIIIIIIIIZYY	(0.00117794+0j)
IIIZZIIZIIIZIIZIYYIXX	(-0.00124233+0j)
IIIZZIIZIIIZIIZIYXIXY	(0.00124233+0j)
IIIZZIIZIIIZIIZZXXIXX	(0.00124233+0j)
IIIZZIIZIIIZIIZZXYIXY	(0.00124233+0j)
IIIIIIIIIIIZIIIZYYIXX	(-0.0011906+0j)
IIIIIIIIIIIZIIIZYXIXY	(0.0011906+0j)
IIIZZIIZIIIZIIIIXXIXX	(0.0011906+0j)
